Entertainer,Gender (traditional),Birth Year,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy,Nomination Age,Award Age,Year of Last Major Work (arguable),Year of Death,Entertainer Age
Adele,F,1988,2008,19,2009,20,21,2016,,
Angelina Jolie,F,1975,1999,"Girl, Interrupted",1999,24,24,2016,,
Aretha Franklin,F,1942,1967,I Never Loved a Man (The Way I Love You),1968,25,26,2014,,
Bette Davis,F,1908,1934,Of Human Bondage,1935,26,27,1989,1989,81
Betty White,F,1922,1952,Life with Elilzabeth,1976,30,54,2016,,
Bing Crosby,M,1903,1931,Several Songs,1962,28,59,1974,1977,74
Bob Hope,M,1903,1938,The Big Broadcast of 1938,1940,35,37,1972,2003,100
Carol Burnett,F,1933,1959,The Garry Moore Show,1962,26,29,2016,,
Carole Lombard,F,1908,1934,Twentieth Century,,26,,1942,1942,34
Carrie Fisher,F,1956,1977,Star Wars,,21,,2016,2016,60
Cary Grant,M,1904,1933,"She Done Him Wrong, I'm No Angel",1970,29,66,1966,1986,82
Charlie Chaplin,M,1889,1915,The Tramp,1929,26,40,1967,1977,88
Clara Bow,F,1905,1926,Mantrap,,21,,1933,1965,60
Clark Gable,M,1901,1934,It Happened One Night,1934,33,33,1960,1960,59
David Letterman,M,1947,1982,Late Night with David Letterman,1981,35,34,2015,,
Debbie Reynolds,F,1932,1952,Singin' in the Rain,,20,,2006,2016,84
Denzel Washington,M,1954,1989,Glory,1989,35,35,2016,,
Dick Van Dyke,M,1925,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964,36,39,2015,,
Donald Sutherland,M,1935,1967,The Dirty Dozen,1995,32,60,2016,,
Dustin Hoffman,M,1937,1967,The Graduate,1980,30,43,2016,,
Ed Sullivan,M,1901,1948,Toast of the Town,1956,47,55,1973,1974,73
Eddie Murphy,M,1961,1980,Saturday Night Live,2001,19,40,2016,,
Elton John,M,1947,1972,Honky Chateau,1987,25,40,2016,,
Elvis Presley,M,1935,1956,Heartbreak Hotel,1959,21,24,1977,1977,42
Frank Sinatra,M,1915,1940,I'll Never Smile Again,1946,25,31,1980,1998,83
Gene Hackman,M,1930,1967,Bonnie and Clyde,1971,37,41,2004,,
George Michael,M,1963,1984,Wake Me Up Before You Go-Go,1988,21,25,2004,2016,53
Gregory Peck,M,1916,1944,The Keys of the Kingdom,1962,28,46,1991,2003,87
Greta Garbo,F,1905,1930,Anna Christie,1954,25,49,1941,1990,85
Humphrey Bogart,M,1899,1936,The Petrified Forest,1951,37,52,1956,1957,58
James Dean,M,1931,1953,East of Eden,1955,22,24,1955,1955,24
Jay Leno,M,1950,1992,The Tonight Show,1995,42,45,2014,,
Jennifer Aniston,F,1969,1994,Friends,2002,25,33,2016,,
Jerry Seinfeld,M,1954,1988,Seinfeld,1992,34,38,2016,,
Jimmy Page,M,1944,1969,Led Zeppelin 2,1999,25,55,2016,,
Jimmy Stewart,M,1908,1938,You Can't Take it With You,1941,30,33,1980,1997,89
Joan Crawford,F,1904,1928,Our Dancing Daughters,1946,24,42,1970,1977,73
John Lennon,M,1940,1963,I Want to Hold Your Hand,1965,23,25,1980,1980,40
John Wayne,M,1907,1939,Stagecoach,1970,32,63,1976,1979,72
Johnny Carson,M,1925,1962,The Tonight Show Starring Johnny Carson,1976,37,51,1992,2005,80
Johnny Depp,M,1963,1987,21 Jump Street,,24,,2016,,
Justin Timberlake,M,1981,2000,No Strings Attached,2004,19,23,2016,,
Katherine Hepburn,F,1907,1933,Morning Glory,1933,26,26,1994,2003,96
Keifer Sutherland,M,1966,2001,24,2006,35,40,2016,,
Kirk Douglas,M,1916,1949,Champion,1996,33,80,2004,,
Lady Gaga,F,1986,2008,The Fame,2010,22,24,2016,,
Leonard Bernstein,M,1918,1957,West Side Story,1962,39,44,1989,1990,72
Leonardo DiCaprio,M,1974,1997,Titanic,2016,23,42,2016,,
Louis Armstrong,M,1901,1964,"Hello, Dolly!",1993,63,92,1970,1971,70
Madonna,F,1958,1984,Like A Virgin,1992,26,34,2015,,
Mariah Carey,F,1969,1990,Mariah Carey,1991,21,22,2014,,
Marlon Brando,M,1924,1951,Streetcar Named Desire,1953,27,29,2001,2004,80
Mary Tyler Moore,F,1936,1961,The Dick Van Dyke Show,1964,25,28,2013,,
Meryl Streep,F,1949,1978,The Deer Hunter,1980,29,31,2016,,
Mick Jagger,M,1943,1965,(I Can't Get No) Satisfaction,1987,22,44,2016,,
Morgan Freeman,M,1937,1989,Driving Miss Daisy and Glory,2005,52,68,2016,,
Oprah Winfrey,F,1954,1985,The Color Purple,1987,31,33,2016,,
Paul McCartney,M,1942,1963,I Want to Hold Your Hand,1965,21,23,2016,,
Paul Newman,M,1925,1958,Cat on a Hot Tin Roof,1986,33,61,2005,2008,83
Peter O'Toole,M,1932,1962,Lawrence of Arabia,2002,30,70,2013,2013,81
Prince,M,1958,1979,Prince,1984,21,26,2016,2016,58
Robert Redford,M,1936,1969,Butch Cassidy and the Sundance Kid,1980,33,44,2016,,
Sidney Poitier,M,1927,1955,Blackboard Jungle,1964,28,37,2008,,
Sly Stone,M,1943,1968,Everyday People,2017,25,74,1971,,
Stevie Wonder,M,1950,1963,Fingertips,1973,13,23,2005,,
Tom Hanks,M,1956,1984,Splash,1993,28,37,2016,,
Tony Bennett,M,1926,1951,Because of You,1963,25,37,2016,,
Wayne Newton,M,1942,1972,"Daddy, Don't You Walk So Fast",,30,,2016,,
Will Smith,M,1968,1990,The Fresh Prince of Bel-Air,1988,22,20,2016,,
Willie Nelson,M,1933,1975,Red Headed Stranger,1976,42,43,2016,,
